*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Main
*Date=08:08:09
*CreatedBy=Fritzing 0.9.10b.2022-05-14.CD-1801-0-29c2cede
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;43.4086;-1.89137;0;Bottom;Copper Fill43
2;;;53.1876;-24.1925;0;Bottom;Copper Fill70
3;;;26.0223;-13.9945;0;Bottom;Copper Fill93
4;;;62.484;-1.71357;0;Bottom;Copper Fill41
5;;;58.4267;-21.1012;0;Bottom;Via2
6;100nF;100 mil [THT, multilayer];44.4616;-14.7511;180;Bottom;C1
7;;;43.942;-50.3799;0;Bottom;Copper Fill54
8;;;45.0857;-49.0357;0;Bottom;Via18
9;;;49.8094;-51.8785;0;Bottom;Copper Fill13
10;;;28.7528;-11.0354;0;Bottom;Copper Fill28
11;;;42.6974;-49.0845;0;Bottom;Copper Fill11
12;;;30.5054;-51.8785;0;Bottom;Copper Fill49
13;;;59.944;-1.71357;0;Bottom;Copper Fill82
14;;;43.4086;-3.59317;0;Bottom;Copper Fill42
15;;;56.5076;-44.6105;0;Bottom;Via11
16;;;34.4678;-26.7833;0;Bottom;Copper Fill1
17;;;30.5054;-51.8785;0;Bottom;Copper Fill6
18;;;49.8856;-49.4401;0;Bottom;Copper Fill67
19;;;38.1067;-5.86121;0;Bottom;Via4
20;;;64.7981;-32.5102;0;Bottom;Via8
21;100nF;100 mil [THT, multilayer];27.307;-14.7511;0;Bottom;C2
22;;;49.8094;-51.8785;0;Bottom;Copper Fill56
23;;;47.2694;-51.8785;0;Bottom;Copper Fill55
24;;;26.0417;-40.1511;0;Bottom;Via5
25;;;42.164;-1.71357;0;Bottom;Copper Fill77
26;;;40.0558;-48.8813;0;Bottom;Copper Fill20
27;;;35.56;-49.4401;0;Bottom;Copper Fill64
28;;;57.404;-1.71357;0;Bottom;Copper Fill39
29;;;34.5195;-26.8161;0;Bottom;Componente1
30;;;43.4086;-1.89137;0;Bottom;Copper Fill96
31;;;44.704;-1.71357;0;Bottom;Copper Fill36
32;;;56.5217;-24.2762;0;Bottom;Via1
33;;;39.624;-1.71357;0;Bottom;Copper Fill76
34;;;30.8864;-48.1955;0;Bottom;Copper Fill62
35;;;54.8894;-51.8785;0;Bottom;Copper Fill15
36;;;44.704;-1.71357;0;Bottom;Copper Fill78
37;;;33.0454;-51.8785;0;Bottom;Copper Fill50
38;;;41.8997;-49.0302;0;Bottom;Via15
39;;;46.4947;-14.7946;0;Bottom;Copper Fill89
40;;;57.1567;-49.0411;0;Bottom;Via9
