*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Comunicación
*Date=18:32:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;5.5753;-30.1215;0;Bottom;Copper Fill54
2;220;1206 [SMD];35.4653;-25.1001;90;Top;R22
3;;;55.7784;-30.8581;0;Bottom;Copper Fill4
4;;TO92 [THT];51.5688;-22.1532;90;Bottom;Q6
5;220;1206 [SMD];35.4653;-15.6503;-90;Bottom;R23
6;;;4.8006;-30.8708;0;Bottom;Copper Fill33
7;;;31.0261;-9.7507;0;Bottom;Copper Fill41
8;;;59.309;-30.8581;0;Bottom;Copper Fill5
9;;;31.7754;-8.976;0;Bottom;Copper Fill22
10;;;39.9542;-31.5947;0;Bottom;Copper Fill1
11;;;51.8306;-13.4535;0;Top;TXT2
12;;;31.0261;-9.7507;0;Bottom;Copper Fill20
13;;;48.1076;-28.2927;0;Bottom;Copper Fill8
14;;;19.5834;-18.8693;0;Bottom;Copper Fill6
15;;;66.0124;-26.7535;0;Bottom;TXT1
16;;;62.6618;-22.0316;0;Bottom;Copper Fill60
17;;;33.0708;-18.9201;0;Bottom;Copper Fill40
18;1k;THT;57.0552;-25.7727;-90;Bottom;R30
19;;;31.0261;-8.2521;0;Bottom;Copper Fill42
20;;;4.8006;-8.976;0;Bottom;Copper Fill52
21;;;20.9296;-29.6897;0;Bottom;Copper Fill39
22;;;36.1696;-32.8012;0;Bottom;Copper Fill49
23;2.2k;THT;41.8152;-25.7727;-90;Bottom;R28
24;;xbee-silk;19.2827;-19.9452;-90;Bottom;U3
25;;;56.6674;-25.1177;0;Bottom;Copper Fill12
26;;;59.309;-28.3181;0;Bottom;Copper Fill10
27;;;5.5753;-31.6709;0;Bottom;Copper Fill31
28;;3 mm [THT];7.46915;-8.94529;-90;Bottom;LED5
29;;;66.6672;-29.1981;0;Bottom;TXT1
30;6.8k;THT;44.3552;-28.3127;-90;Bottom;R29
31;;;51.0286;-30.8581;0;Bottom;Copper Fill3
32;;;34.6202;-8.0616;0;Bottom;Copper Fill24
33;;;35.3949;-33.5759;0;Bottom;Copper Fill47
34;;;10.3828;-30.8527;0;Bottom;Via27
35;;;5.5753;-30.1215;0;Bottom;Copper Fill32
36;;3 mm [THT];35.465;-9.84163;180;Bottom;LED7
37;;;30.1244;-22.0443;0;Bottom;Copper Fill17
38;;TO92 [THT];38.8688;-24.6932;90;Bottom;Q5
39;;;11.9253;-2.0545;0;Bottom;Copper Fill57
40;;;35.3949;-7.2869;0;Bottom;Copper Fill23
41;;;26.0604;-23.7207;0;Bottom;Copper Fill11
42;;;36.1696;-8.0616;0;Bottom;Copper Fill46
43;;THT;61.8177;-27.0427;0;Bottom;J1
44;;3 mm [THT];7.46915;-30.8528;-90;Bottom;LED1 XB1
45;;;66.3003;-24.2776;0;Bottom;TXT1
46;;;34.6202;-32.8012;0;Bottom;Copper Fill26
